movie,franchise
"Nov 16, 2018",Harry Potter
Fantastic Beasts: The Crime…,Harry Potter
"Nov 18, 2016",Harry Potter
Fantastic Beasts and Where …,Harry Potter
"Oct 14, 2016",Harry Potter
The Harry Potter IMAX Marathon,Harry Potter
"Jul 15, 2011",Harry Potter
Harry Potter and the Deathl…,Harry Potter
"Nov 19, 2010",Harry Potter
Harry Potter and the Deathl…,Harry Potter
"Jul 15, 2009",Harry Potter
Harry Potter and the Half-B…,Harry Potter
"Jul 11, 2007",Harry Potter
Harry Potter and the Order …,Harry Potter
"Nov 18, 2005",Harry Potter
Harry Potter and the Goblet…,Harry Potter
"Jun 4, 2004",Harry Potter
Harry Potter and the Prison…,Harry Potter
"Nov 15, 2002",Harry Potter
Harry Potter and the Chambe…,Harry Potter
"Nov 16, 2001",Harry Potter
Harry Potter and the Sorcer…,Harry Potter
"Dec 31, 2020",Spider-Man
Spider-Man 4: Fan Film,Spider-Man
"Jul 2, 2019",Spider-Man
Spider-Man: Far From Home,Spider-Man
"Dec 14, 2018",Spider-Man
Spider-Man: Into The Spider…,Spider-Man
"Oct 5, 2018",Spider-Man
Venom,Spider-Man
"Jul 7, 2017",Spider-Man
Spider-Man: Homecoming,Spider-Man
"May 2, 2014",Spider-Man
The Amazing Spider-Man 2,Spider-Man
"Jul 3, 2012",Spider-Man
The Amazing Spider-Man,Spider-Man
"May 4, 2007",Spider-Man
Spider-Man 3,Spider-Man
"Jun 30, 2004",Spider-Man
Spider-Man 2,Spider-Man
"Sep 6, 2002",Spider-Man
Spider-Man/Men in Black II …,Spider-Man
"May 3, 2002",Spider-Man
Spider-Man,Spider-Man
"Aug 28, 2020",X-Men
The New Mutants,X-Men
"Jun 7, 2019",X-Men
Dark Phoenix,X-Men
"May 18, 2018",X-Men
Deadpool 2,X-Men
"Mar 3, 2017",X-Men
Logan,X-Men
"May 27, 2016",X-Men
X-Men: Apocalypse,X-Men
"Feb 12, 2016",X-Men
Deadpool,X-Men
"May 23, 2014",X-Men
X-Men: Days of Future Past,X-Men
"Jul 26, 2013",X-Men
The Wolverine,X-Men
"Jun 3, 2011",X-Men
X-Men: First Class,X-Men
"May 1, 2009",X-Men
X-Men Origins: Wolverine,X-Men
"May 26, 2006",X-Men
X-Men: The Last Stand,X-Men
"May 2, 2003",X-Men
X-Men 2,X-Men
"Jul 14, 2000",X-Men
X-Men,X-Men
