popularity,vote_count,id,genre_ids,title,vote_average,release_date
89.32600000000001,31,tt2622672,"[27, 53, 9648]",Scream at the Devil,5.5,2015-10-30
103.64399999999999,221,tt6196936,"[28, 18, 53]",The Kill Team,6.8,2019-10-17
105.162,4044,tt2386490,"[16, 10751, 12]",How to Train Your Dragon: The Hidden World,7.8,2019-01-03
101.605,8805,tt2119532,"[18, 36, 10752]",Hacksaw Ridge,8.1,2016-10-07
83.29899999999999,67,tt3561236,"[27, 878, 53]",Containment,5.1,2015-07-09
84.56299999999999,6574,tt1673434,"[12, 18, 14, 10749]",The Twilight Saga: Breaking Dawn - Part 2,6.4,2012-11-13
109.29299999999999,12302,tt5463162,"[28, 12, 35]",Deadpool 2,7.5,2018-05-10
98.117,395,tt7390646,"[28, 53]",Black and Blue,6.7,2019-10-25
86.721,2040,tt6189022,"[28, 53]",Angel Has Fallen,6.4,2019-08-21
105.194,5698,tt0448115,"[28, 35, 14]",Shazam!,7.0,2019-03-29
93.572,203,tt8328716,"[28, 878, 27, 9648]",Doom: Annihilation,4.8,2019-09-30
92.367,3404,tt6343314,[18],Creed II,6.9,2018-11-21
89.305,1803,tt8364368,"[18, 27, 53]",Crawl,6.3,2019-07-11
88.652,12670,tt1790864,"[28, 9648, 878, 53]",The Maze Runner,7.1,2014-09-10
89.135,9497,tt1477834,"[28, 12, 14]",Aquaman,6.9,2018-12-07
78.821,268,tt6079516,"[53, 9648, 27]",I See You,6.7,2019-09-11
83.13799999999999,7595,tt1457767,"[27, 53]",The Conjuring,7.5,2013-03-20
95.50200000000001,5709,tt5164214,"[80, 35, 28, 53]",Ocean's Eight,7.0,2018-06-07
94.426,391,tt6889128,"[28, 12, 16, 10751]",PAW Patrol: Mighty Pups,7.5,2019-05-17
99.262,3060,tt3829266,"[28, 12, 35, 27, 878, 53]",The Predator,5.5,2018-09-05
68.957,8900,tt6644200,"[27, 18, 878]",A Quiet Place,7.3,2018-04-03
93.344,838,tt8096832,"[10749, 35, 10751]",Lady and the Tramp,7.3,2019-11-12
96.039,23379,tt0848228,"[878, 28, 12]",The Avengers,7.7,2012-04-25
86.303,86,tt8380776,"[28, 53]",Grand Isle,6.2,2019-12-06
92.00299999999999,12487,tt2294629,"[16, 12, 10751]",Frozen,7.3,2013-11-27
79.95100000000001,2088,tt2274648,"[28, 12, 14, 878]",Hellboy,5.4,2019-04-10
85.271,8866,tt1856101,"[878, 18]",Blade Runner 2049,7.5,2017-10-04
97.21799999999999,9256,tt3606756,"[28, 12, 16, 10751]",Incredibles 2,7.5,2018-06-14
71.846,78,tt6988208,[27],House of the Witch,4.5,2017-10-07
87.117,2941,tt2283336,"[35, 878]",Men in Black: International,6.0,2019-06-12
85.757,7727,tt4630562,"[28, 80, 53]",The Fate of the Furious,6.9,2017-04-12
88.204,5618,tt3470600,"[16, 35, 18, 10751, 10402]",Sing,7.0,2016-11-23
79.48899999999999,921,tt5116302,"[12, 18, 36, 10751]",Togo,8.2,2019-12-19
85.23100000000001,147,tt7394816,[28],Primal,6.2,2019-12-27
95.853,23803,tt1431045,"[28, 12, 35]",Deadpool,7.6,2016-02-09
93.257,24086,tt0816692,"[12, 18, 878]",Interstellar,8.3,2014-11-05
81.881,16153,tt0369610,"[28, 12, 878, 53]",Jurassic World,6.6,2015-06-06
82.78200000000001,10337,tt2310332,"[28, 12, 14]",The Hobbit: The Battle of the Five Armies,7.3,2014-12-10
79.851,4024,tt4701182,"[28, 12, 878]",Bumblebee,6.6,2018-12-15
68.899,65,tt6220752,"[27, 53]",Pledge,5.4,2019-01-11
85.36200000000001,3200,tt1981128,"[28, 878, 53]",Geostorm,6.0,2017-10-13
79.396,13572,tt0926084,"[12, 14]",Harry Potter and the Deathly Hallows: Part 1,7.8,2010-10-17
89.169,15363,tt0451279,"[28, 12, 14]",Wonder Woman,7.3,2017-05-30
81.835,724,tt8385474,"[10751, 12, 18]",A Dog's Journey,8.1,2019-05-03
66.66199999999999,2997,tt1502407,[27],Halloween,6.5,2018-10-18
79.883,16730,tt2395427,"[28, 12, 878]",Avengers: Age of Ultron,7.3,2015-04-22
69.07300000000001,2027,tt8350360,"[27, 53, 9648]",Annabelle Comes Home,6.4,2019-06-26
75.407,6391,tt1325004,"[12, 18, 14, 10749]",The Twilight Saga: Eclipse,6.2,2010-06-23
80.426,58,tt10253466,[37],Badland,6.6,2019-11-01
74.732,12169,tt2245084,"[28, 12, 16, 35, 10751]",Big Hero 6,7.8,2014-10-24
63.287,4227,tt5814060,"[27, 9648, 53]",The Nun,5.8,2018-09-05
82.848,784,tt7734218,"[28, 35, 80, 53]",Stuber,6.8,2019-07-11
119.613,7491,tt1935859,"[18, 14, 12, 10751]",Miss Peregrine's Home for Peculiar Children,6.7,2016-09-28
76.053,8379,tt4425200,"[28, 80, 53]",John Wick: Chapter 2,7.2,2017-02-08
69.39399999999999,9086,tt1663662,"[28, 878, 12]",Pacific Rim,6.8,2013-07-11
86.586,111,tt11191124,"[28, 12, 16]",Primal: Tales of Savagery,8.1,2019-11-21
74.777,34,tt9896916,"[12, 16]",The Pilgrim's Progress,7.6,2019-04-18
72.637,769,tt3344680,"[28, 18]",Boyka: Undisputed IV,6.8,2016-08-01
77.61,14585,tt1201607,"[14, 12]",Harry Potter and the Deathly Hallows: Part 2,8.1,2011-07-07
68.902,5400,tt4912910,"[28, 12]",Mission: Impossible - Fallout,7.4,2018-07-13
76.369,3624,tt3606752,"[12, 16, 35, 10751]",Cars 3,6.8,2017-06-15
80.236,919,tt8022928,"[12, 14, 10402, 10751, 10770]",Descendants 3,7.9,2019-08-09
61.406000000000006,5423,tt3065204,"[27, 9648, 53]",The Conjuring 2,7.2,2016-05-13
69.458,279,tt3758162,"[28, 18, 53]",A Score to Settle,6.3,2019-08-01
73.40899999999999,986,tt8688634,"[28, 80, 18]",21 Bridges,6.8,2019-10-24
80.273,4917,tt0481499,"[28, 12, 16, 35, 10751, 14]",The Croods,6.9,2013-03-20
70.281,3034,tt1571234,"[12, 14]",Mortal Engines,6.1,2018-11-27
74.7,5230,tt2637276,[35],Ted 2,6.2,2015-06-25
61.763000000000005,3378,tt5758778,[28],Skyscraper,6.3,2018-07-11
62.678999999999995,4164,tt2446042,"[28, 53]",Taken 3,6.2,2014-12-16
75.286,5641,tt6823368,"[53, 18, 878]",Glass,6.6,2019-01-16
74.41,9005,tt5095030,"[28, 12, 878, 35]",Ant-Man and the Wasp,7.0,2018-07-04
59.652,1403,tt4913966,"[27, 9648, 53]",The Curse of La Llorona,5.7,2019-04-17
68.142,239,tt9625664,"[28, 53]",Trauma Center,5.8,2019-12-06
68.557,6357,tt1340138,"[878, 28, 53, 12]",Terminator Genisys,5.9,2015-06-23
74.543,15593,tt3896198,"[28, 12, 35, 878]",Guardians of the Galaxy Vol. 2,7.6,2017-04-19
80.171,2844,tt9243946,"[80, 18, 53, 28]",El Camino: A Breaking Bad Movie,6.9,2019-10-11
65.528,12302,tt2872732,"[28, 878]",Lucy,6.4,2014-07-25
71.202,7398,tt4123430,"[12, 14, 18]",Fantastic Beasts: The Crimes of Grindelwald,6.9,2018-11-14
81.145,15917,tt1211837,"[28, 12, 14, 878]",Doctor Strange,7.4,2016-10-25
64.991,80,tt11276598,"[12, 16, 35, 10751]",Pets United,6.2,2019-11-08
73.325,14917,tt3315342,"[28, 18, 878]",Logan,7.8,2017-02-28
75.846,8102,tt5726616,"[18, 10749]",Call Me by Your Name,8.3,2017-09-01
67.936,12126,tt1727824,"[18, 10402]",Bohemian Rhapsody,8.0,2018-10-24
64.017,4051,tt2510894,"[16, 35, 10751, 14]",Hotel Transylvania 2,6.8,2015-09-21
74.48100000000001,3817,tt2267968,"[28, 12, 16, 35, 10751]",Kung Fu Panda 3,6.8,2016-01-23
74.329,486,tt10515852,"[28, 12, 16, 35, 18, 14, 10402, 10751]",Steven Universe: The Movie,8.4,2019-09-02
67.68,4743,tt2231461,"[28, 12, 878]",Rampage,6.4,2018-04-12
61.702,110,tt7869070,"[80, 53]",The Fanatic,4.2,2019-08-30
63.964,13019,tt4972582,"[27, 53]",Split,7.3,2017-01-09
65.878,447,tt6772804,"[28, 53]",Escape Plan: The Extractors,5.1,2019-06-20
72.778,474,tt2114504,"[16, 35, 10751]",Woody Woodpecker,6.7,2017-10-05
74.84100000000001,8789,tt2322441,"[18, 53, 10749]",Fifty Shades of Grey,5.8,2015-02-11
76.167,281,tt10548944,"[28, 16]",Teen Titans Go! vs. Teen Titans,8.0,2019-07-21
68.562,95,tt0441881,"[28, 18, 36, 10752]",Danger Close,6.4,2019-08-08
71.164,707,tt8368406,"[27, 878, 53]",Vivarium,6.0,2019-09-07
77.157,6500,tt1324999,"[12, 14, 10749]",The Twilight Saga: Breaking Dawn - Part 1,6.2,2011-11-16
76.012,574,tt7083526,[18],Breakthrough,7.5,2019-04-10
67.029,785,tt2428170,"[27, 53]",Creep,6.3,2014-06-23
71.47399999999999,2933,tt1911658,"[10751, 16, 12, 35]",Penguins of Madagascar,6.5,2014-11-22
59.622,1270,tt1846589,"[28, 53]",Hunter Killer,6.6,2018-10-19
74.082,7876,tt2820852,"[28, 53]",Furious 7,7.3,2015-04-01
58.157,882,tt5664636,"[12, 35, 14, 27, 10751]",Goosebumps 2: Haunted Halloween,6.0,2018-10-11
70.945,35,tt8318702,"[28, 12, 27]",D-Railed,4.8,2018-12-01
59.477,517,tt8781414,"[18, 9648, 878, 53]",Freaks,6.8,2018-09-08
76.044,16994,tt3498820,"[12, 28, 878]",Captain America: Civil War,7.4,2016-04-27
59.111999999999995,2157,tt4877122,"[16, 35, 10751]",The Emoji Movie,5.6,2017-07-23
65.156,11995,tt1951265,"[12, 878, 53]",The Hunger Games: Mockingjay - Part 1,6.8,2014-11-19
