id,popularity,vote_count,genre_ids,title,vote_average,release_date
tt2965466,93.945,323,"[27, 53]",last shift,6.0,2014-10-25
tt6889128,93.647,392,"[28, 12, 16, 10751]",paw patrol mighty pups,7.5,2019-05-17
tt1790864,93.597,12673,"[28, 9648, 878, 53]",the maze runner,7.1,2014-09-10
tt8096832,93.552,838,"[10749, 35, 10751]",lady and the tramp,7.3,2019-11-12
tt2262227,92.963,1716,"[16, 12, 35, 10751, 14]",the book of life,7.5,2014-10-01
tt5266668,92.799,87,"[28, 10752]",rogue warfare,5.7,2019-10-04
tt0330373,91.8,14299,"[12, 14, 10751]",harry potter and the goblet of fire,7.8,2005-11-16
tt8328716,90.331,203,"[28, 878, 27, 9648]",doom annihilation,4.8,2019-09-30
tt0327597,90.323,4472,"[16, 10751, 14]",coraline,7.7,2009-02-05
tt2322441,90.283,8797,"[18, 53, 10749]",fifty shades of grey,5.8,2015-02-11
tt5095030,88.882,9010,"[28, 12, 878, 35]",antman and the wasp,7.0,2018-07-04
tt3829266,88.26100000000002,3060,"[28, 12, 35, 27, 878, 53]",the predator,5.5,2018-09-05
tt0479968,87.976,496,"[27, 9648, 53]",one missed call,5.5,2008-01-04
tt2294629,87.60600000000002,12491,"[16, 12, 10751]",frozen,7.3,2013-11-27
tt3606756,86.45299999999997,9259,"[28, 12, 16, 10751]",incredibles 2,7.5,2018-06-14
tt6189022,86.29899999999998,2040,"[28, 53]",angel has fallen,6.4,2019-08-21
tt0848228,86.26,23381,"[878, 28, 12]",the avengers,7.7,2012-04-25
tt7394816,84.743,148,[28],primal,6.2,2019-12-27
tt8022928,84.574,919,"[12, 14, 10402, 10751, 10770]",descendants 3,7.9,2019-08-09
tt2119532,84.552,8808,"[18, 36, 10752]",hacksaw ridge,8.1,2016-10-07
tt0369610,84.24,16154,"[28, 12, 878, 53]",jurassic world,6.6,2015-06-06
tt2622672,84.088,31,"[27, 53, 9648]",scream at the devil,5.5,2015-10-30
tt1856101,83.906,8867,"[878, 18]",blade runner 2049,7.5,2017-10-04
tt6196936,83.844,221,"[28, 18, 53]",the kill team,6.8,2019-10-17
tt6343314,82.579,3405,[18],creed ii,6.9,2018-11-21
tt0816692,82.546,24098,"[12, 18, 878]",interstellar,8.3,2014-11-05
tt11191124,82.04,111,"[28, 12, 16]",primal tales of savagery,8.1,2019-11-21
tt2283336,81.803,2942,"[35, 878]",men in black international,6.0,2019-06-12
tt8364368,81.583,1805,"[18, 27, 53]",crawl,6.3,2019-07-11
tt2557478,81.282,3299,"[28, 14, 878, 12]",pacific rim uprising,6.1,2018-03-21
tt3561236,81.013,67,"[27, 878, 53]",containment,5.1,2015-07-09
tt3470600,80.842,5620,"[16, 35, 18, 10751, 10402]",sing,7.0,2016-11-23
tt2310332,79.834,10343,"[28, 12, 14]",the hobbit the battle of the five armies,7.3,2014-12-10
tt8385474,79.007,725,"[10751, 12, 18]",a dogs journey,8.1,2019-05-03
tt5116302,78.929,922,"[12, 18, 36, 10751]",togo,8.2,2019-12-19
tt1099212,78.743,9809,"[18, 14, 10749]",twilight,6.2,2008-11-20
tt0304141,78.582,14952,"[12, 14]",harry potter and the prisoner of azkaban,8.0,2004-05-31
tt2637276,78.208,5232,[35],ted 2,6.2,2015-06-25
tt2274648,77.624,2089,"[28, 12, 14, 878]",hellboy,5.4,2019-04-10
tt3606752,77.618,3628,"[12, 16, 35, 10751]",cars 3,6.8,2017-06-15
tt1981128,77.169,3203,"[28, 878, 53]",geostorm,6.0,2017-10-13
tt1340138,77.128,6358,"[878, 28, 53, 12]",terminator genisys,5.9,2015-06-23
tt10253466,76.85300000000002,58,[37],badland,6.6,2019-11-01
tt4701182,76.803,4025,"[28, 12, 878]",bumblebee,6.6,2018-12-15
tt4649466,75.873,7117,"[28, 12, 35, 80, 53]",kingsman the golden circle,7.0,2017-09-20
tt2245084,75.694,12171,"[28, 12, 16, 35, 10751]",big hero 6,7.8,2014-10-24
tt0126029,75.622,11414,"[16, 10751, 35, 14, 12]",shrek,7.6,2001-05-18
tt0295297,75.499,15233,"[12, 14]",harry potter and the chamber of secrets,7.7,2002-11-13
tt4425200,75.47,8382,"[28, 80, 53]",john wick chapter 2,7.2,2017-02-08
tt9896916,74.998,35,"[12, 16]",the pilgrims progress,7.6,2019-04-18
tt0417741,74.675,13533,"[12, 14]",harry potter and the halfblood prince,7.7,2009-07-07
tt10515852,73.641,487,"[28, 12, 16, 35, 18, 14, 10402, 10751]",steven universe the movie,8.4,2019-09-02
tt8380776,73.579,86,"[28, 53]",grand isle,6.2,2019-12-06
tt4630562,73.461,7728,"[28, 80, 53]",the fate of the furious,6.9,2017-04-12
tt7734218,73.164,785,"[28, 35, 80, 53]",stuber,6.8,2019-07-11
tt0451279,72.788,15367,"[28, 12, 14]",wonder woman,7.3,2017-05-30
