id,studio,rating,budget,dom_gross,world_gross
tt0369610,Universal Pictures,PG-13,150000000.0,652270625.0,1670401444.0
tt2622672,,0,,,
tt1856101,Warner Bros.,R,150000000.0,92054159.0,259239658.0
tt6196936,,R,,,372282.0
tt6343314,Metro-Goldwyn-Mayer (MGM),PG-13,50000000.0,115715889.0,214215889.0
tt0816692,Paramount Pictures,PG-13,165000000.0,188020017.0,696264079.0
tt11191124,,0,,,
tt2283336,Sony Pictures Entertainment (SPE),PG-13,110000000.0,80001807.0,253890701.0
tt8364368,Paramount Pictures,R,13500000.0,39014193.0,91542097.0
tt2557478,Universal Pictures,PG-13,150000000.0,59874525.0,290930148.0
tt3561236,,0,,,
tt3470600,Universal Pictures,PG,75000000.0,270395425.0,634154922.0
tt2310332,Warner Bros.,PG-13,,255119788.0,956019788.0
tt8385474,Universal Pictures,PG,16000000.0,22782371.0,75727748.0
tt5116302,,PG,,,
tt1099212,Summit Entertainment,PG-13,37000000.0,193962473.0,408430415.0
tt0304141,Warner Bros.,PG,130000000.0,249975996.0,796208921.0
tt2637276,Universal Pictures,R,68000000.0,81476385.0,215863606.0
tt2274648,Lionsgate,R,50000000.0,21903748.0,44665289.0
tt3606752,Walt Disney Studios Motion Pictures,G,,152901115.0,383930656.0
tt1981128,Warner Bros.,PG-13,120000000.0,33700160.0,221600160.0
tt1340138,Paramount Pictures,PG-13,155000000.0,89760956.0,440603537.0
tt10253466,,0,,,
tt4701182,Paramount Pictures,PG-13,135000000.0,127195589.0,467989645.0
tt4649466,Twentieth Century Fox,R,104000000.0,100234838.0,410902662.0
tt2245084,Walt Disney Studios Motion Pictures,PG,165000000.0,222527828.0,657869501.0
tt0126029,DreamWorks Distribution,PG,60000000.0,267665011.0,506429095.0
tt0295297,Warner Bros.,PG,100000000.0,262450136.0,879600965.0
tt4425200,Lionsgate,R,,92029184.0,171547802.0
tt9896916,Fathom Events,PG,,1294596.0,3173282.0
tt0417741,Warner Bros.,PG,250000000.0,302305431.0,934452003.0
tt10515852,Fathom Events,0,,,24012.0
tt8380776,,0,,,
tt4630562,Universal Pictures,PG-13,250000000.0,226008385.0,1236005118.0
tt7734218,Twentieth Century Fox,R,16000000.0,22370452.0,32390945.0
tt0451279,Warner Bros.,PG-13,149000000.0,412563408.0,821847012.0
tt4912910,Paramount Pictures,PG-13,178000000.0,220159104.0,791120426.0
tt2114504,,PG,,,15316635.0
tt7083526,Twentieth Century Fox,PG,14000000.0,40713082.0,50444358.0
tt1324999,Summit Entertainment,PG-13,110000000.0,281287133.0,712205856.0
tt9625664,,R,,,92968.0
tt1911658,Twentieth Century Fox,PG,132000000.0,83850911.0,373515621.0
tt3315342,Twentieth Century Fox,R,97000000.0,226277068.0,619021436.0
tt1457767,Warner Bros.,R,20000000.0,137400141.0,319510075.0
tt2446042,Twentieth Century Fox,PG-13,48000000.0,89256424.0,326479141.0
tt6079516,,R,,,1098207.0
tt2267968,Twentieth Century Fox,PG,145000000.0,143528619.0,521170825.0
tt1325004,Summit Entertainment,PG-13,68000000.0,300531751.0,698491347.0
tt2395427,Walt Disney Studios Motion Pictures,PG-13,250000000.0,459005868.0,1402809540.0
tt0499549,Twentieth Century Fox,PG-13,237000000.0,760507625.0,2790439092.0
tt0444682,Warner Bros.,R,,25126214.0,62771059.0
tt8688634,STX Entertainment,R,33000000.0,28539757.0,49939757.0
tt5028340,Walt Disney Studios Motion Pictures,PG,130000000.0,171958438.0,349545966.0
tt1673434,Lionsgate,PG-13,120000000.0,292324737.0,829747488.0
tt0481499,Twentieth Century Fox,PG,135000000.0,187168425.0,587204668.0
tt5580390,Fox Searchlight Pictures,R,,63859435.0,195333312.0
tt5164214,Warner Bros.,PG-13,70000000.0,140218711.0,297718711.0
tt10548944,,0,,,
tt9243946,,0,,,
tt1211837,Walt Disney Studios Motion Pictures,PG-13,165000000.0,232641920.0,677796076.0
tt3896198,Walt Disney Studios Motion Pictures,PG-13,200000000.0,389813101.0,863756051.0
tt1571234,Universal Pictures,PG-13,100000000.0,15951040.0,83672673.0
tt0319970,,0,,,
tt2231461,Warner Bros.,PG-13,120000000.0,101028233.0,428028233.0
tt2713180,Sony Pictures Entertainment (SPE),R,68000000.0,85817906.0,211822697.0
tt0443453,Twentieth Century Fox,R,18000000.0,128505958.0,262552893.0
tt1201607,Warner Bros.,PG-13,,381409310.0,1342222791.0
tt0121164,Warner Bros.,PG,,53359111.0,118090836.0
tt11276598,,0,,,4440894.0
tt0373889,Warner Bros.,PG-13,150000000.0,292353413.0,942170173.0
tt0145487,Sony Pictures Entertainment (SPE),PG-13,139000000.0,407022860.0,825025036.0
tt2802144,Twentieth Century Fox,R,81000000.0,128261724.0,414351546.0
tt3344680,,R,,,413334.0
tt0298148,DreamWorks Distribution,PG,150000000.0,441226247.0,928760770.0
tt8623904,Universal Pictures,PG-13,25000000.0,35150750.0,121550750.0
tt1663662,Warner Bros.,PG-13,190000000.0,101802906.0,411002906.0
tt6988208,,0,,,47188.0
tt2948356,Walt Disney Studios Motion Pictures,PG,,341268248.0,1023791895.0
tt0462538,Twentieth Century Fox,PG-13,75000000.0,183135014.0,536414270.0
tt2527336,Walt Disney Studios Motion Pictures,PG-13,317000000.0,620181382.0,1332697499.0
tt3498820,Walt Disney Studios Motion Pictures,PG-13,250000000.0,408084349.0,1153332120.0
tt1291150,Paramount Pictures,PG-13,125000000.0,191204754.0,485004754.0
tt0365929,Warner Bros.,R,35000000.0,10275638.0,17976667.0
tt4477536,Universal Pictures,R,55000000.0,100407760.0,371985018.0
tt3799232,,0,,,
tt0926084,Warner Bros.,PG-13,,296347721.0,976998674.0
tt5758778,Universal Pictures,PG-13,125000000.0,68420120.0,304868961.0
tt8318702,,0,,,
tt1872181,Sony Pictures Entertainment (SPE),PG-13,,202853933.0,708982323.0
tt1259571,Summit Entertainment,PG-13,50000000.0,297816253.0,711025481.0
tt5052474,Sony Pictures Entertainment (SPE),R,35000000.0,50072235.0,75837743.0
tt5726616,Sony Pictures Classics,R,,18095701.0,41887595.0
tt5814060,Warner Bros.,R,22000000.0,117450119.0,365551694.0
tt0468569,Warner Bros.,PG-13,185000000.0,535234033.0,1005456758.0
tt0371746,Paramount Pictures,PG-13,140000000.0,319034126.0,585796247.0
tt5493944,Conglomerate Media,PG,,147175.0,2613377.0
tt4123430,Warner Bros.,PG-13,200000000.0,159555901.0,654855901.0
tt1679335,Twentieth Century Fox,PG,125000000.0,153707064.0,346864462.0
tt3861390,Walt Disney Studios Motion Pictures,PG,170000000.0,114766307.0,353284621.0
tt6823368,Universal Pictures,PG-13,20000000.0,111048468.0,246999039.0
tt3758162,,0,,,171216.0
tt1727824,Twentieth Century Fox,PG-13,52000000.0,216668042.0,903975345.0
tt6220752,,0,,,
tt6472976,Lionsgate,PG-13,7000000.0,45729221.0,91522094.0
tt3385516,Twentieth Century Fox,PG-13,178000000.0,155442489.0,543934105.0
tt8781414,Well Go USA Entertainment,R,,276591.0,368410.0
tt2283362,Sony Pictures Entertainment (SPE),PG-13,90000000.0,404540171.0,962102237.0
tt6513656,,R,,,17592626.0
tt2872732,Universal Pictures,R,40000000.0,126663600.0,458863600.0
tt6644200,Paramount Pictures,PG-13,17000000.0,188024361.0,340952841.0
tt1119646,Warner Bros.,R,35000000.0,277322503.0,469310836.0
tt0892791,DreamWorks,PG,165000000.0,238736787.0,752600867.0
tt8350360,Warner Bros.,R,30000000.0,74152591.0,231252591.0
tt3920820,Bleecker Street Media,PG-13,,4376819.0,4376819.0
tt0325980,Walt Disney Studios Motion Pictures,PG-13,140000000.0,305413918.0,654264015.0
tt1951265,Lionsgate,PG-13,125000000.0,337135885.0,755356711.0
tt1502407,Universal Pictures,R,10000000.0,159342015.0,255614170.0
tt5941692,Sony Pictures Entertainment (SPE),PG-13,15000000.0,15006824.0,15383580.0
tt3731562,Warner Bros.,PG-13,185000000.0,168052812.0,566652812.0
tt1636826,Warner Bros.,R,,54731865.0,102731865.0
tt2428170,,R,,,
tt1646971,Twentieth Century Fox,PG,145000000.0,177002924.0,621537519.0
tt4073790,Twentieth Century Fox,PG-13,34000000.0,12695691.0,41142379.0
tt6772804,,R,,,1766092.0
tt1922777,Lionsgate,R,3000000.0,48086903.0,82515113.0
tt2975590,Warner Bros.,PG-13,250000000.0,330360194.0,873637528.0
tt2126355,Warner Bros.,PG-13,110000000.0,155190832.0,473990832.0
tt3371366,Paramount Pictures,PG-13,217000000.0,130168683.0,605425157.0
tt0993846,Paramount Pictures,R,100000000.0,116900694.0,392000694.0
tt5968394,Focus Features,PG-13,,5958315.0,8808611.0
tt2279373,Paramount Pictures,PG,74000000.0,162994032.0,325186032.0
tt5452780,,G,,,
tt8368406,,R,,,427399.0
tt2771200,Walt Disney Studios Motion Pictures,PG,160000000.0,504481165.0,1264064386.0
tt2510894,Sony Pictures Entertainment (SPE),PG,80000000.0,169700110.0,474800000.0
tt3065204,Warner Bros.,R,40000000.0,102470008.0,320392818.0
tt0257516,Dimension Films,PG-13,38000000.0,19297522.0,29621722.0
tt1985949,Sony Pictures Entertainment (SPE),PG,73000000.0,107509366.0,352333929.0
tt3717490,Lionsgate,PG-13,100000000.0,85364450.0,142337240.0
tt7984766,,R,,,126931.0
tt2908446,Lionsgate,PG-13,110000000.0,130179072.0,297002527.0
tt0166813,DreamWorks Distribution,G,80000000.0,73280117.0,122563539.0
tt8752498,,PG-13,,,
tt1846589,Lionsgate,R,40000000.0,15767460.0,31672678.0
tt0407887,Warner Bros.,R,90000000.0,132384315.0,291465034.0
tt6141246,Amazon Studios,PG-13,,,3485251.0
tt5523010,Walt Disney Studios Motion Pictures,PG,120000000.0,54858851.0,173961069.0
tt4500922,Twentieth Century Fox,PG-13,62000000.0,58032443.0,288175335.0
tt7832848,,R,,,
tt2034800,Universal Pictures,PG-13,150000000.0,45540830.0,334933831.0
tt9134216,Paramount Pictures,PG,29900000.0,44451847.0,68631669.0
tt0383574,Walt Disney Studios Motion Pictures,PG-13,225000000.0,423315812.0,1066179747.0
tt2034176,,0,,,213930.0
tt7869070,,R,,,
tt2820852,Universal Pictures,PG-13,190000000.0,353007020.0,1515253062.0
tt5664636,Sony Pictures Entertainment (SPE),PG,35000000.0,46700633.0,93320380.0
tt0441881,,R,,,2078370.0
tt8946378,Lionsgate,PG-13,40000000.0,165363234.0,311398301.0
tt0267913,Warner Bros.,PG,84000000.0,153294164.0,275650703.0
tt0387564,Lionsgate,R,1200000.0,56000369.0,103911669.0
tt0257106,Miramax,R,45000000.0,71308997.0,141220678.0
tt0800369,Paramount Pictures,PG-13,150000000.0,181030624.0,449326618.0
tt3411444,Twentieth Century Fox,PG,111000000.0,84410380.0,296069199.0
tt2096673,Walt Disney Studios Motion Pictures,PG,175000000.0,356921711.0,858071350.0
tt5164432,Twentieth Century Fox,PG-13,17000000.0,40826341.0,66316289.0
tt4729430,,PG,,,
tt0462499,Lionsgate,R,50000000.0,42754105.0,113244290.0
tt1392190,Warner Bros.,R,150000000.0,154058340.0,375225175.0
tt1289401,Sony Pictures Entertainment (SPE),PG-13,144000000.0,128350574.0,229147509.0
tt2488496,Walt Disney Studios Motion Pictures,PG-13,245000000.0,936662225.0,2068454133.0
tt0268380,Twentieth Century Fox,PG,59000000.0,176387405.0,383257136.0
tt4972582,Universal Pictures,PG-13,9000000.0,138291365.0,278454358.0
tt3541524,,R,,,638182.0
tt4046784,Twentieth Century Fox,PG-13,61000000.0,81697192.0,312296056.0
tt2674426,Warner Bros.,PG-13,20000000.0,56245075.0,208314186.0
tt4538670,,0,,,
tt1956620,Sony Pictures Entertainment (SPE),R,40000000.0,38543473.0,126069509.0
tt6237208,,0,,,
tt0120737,New Line Cinema,PG-13,93000000.0,315544750.0,888159092.0
tt0837562,Sony Pictures Entertainment (SPE),PG,85000000.0,148313048.0,358375603.0
tt7424200,Warner Bros.,PG,10000000.0,29790236.0,52090236.0
tt5140878,Warner Bros.,R,15000000.0,102092201.0,306515884.0
